index,target,timestamp,processId,threadId,parentProcessId,userId,mountNamespace,processName,hostName,eventId,eventName,stackAddresses,argsNum,returnValue,domain,type,protocol,pathname,flags,dev,inode,fd,statbuf,dirfd,mode,ruid,euid,rgid,egid,cap,sockfd,addr,addrlen,dirp,count,stack,parent_tid,child_tid,tls,option,arg2,arg3,arg4,arg5,pid,sig,target,oldfd,newfd,uid,argv,gid
0,0,124.439221,381,381,1,101,4026532232,systemd-resolve,0,41,socket,"[139913106282763, 139913103116537, 94901962555136]",3,15,AF_UNIX,SOCK_DGRAM|SOCK_CLOEXEC,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,124.439958,1,1,0,0,4026531840,systemd,0,1005,security_file_open,"[140074839310116, 8103505641674583864]",4,0,,,,/proc/378/cgroup,O_RDONLY|O_LARGEFILE,5.0,38540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,124.440037,1,1,0,0,4026531840,systemd,0,5,fstat,[140074839307913],2,0,,,,,,,,12.0,0x7FFFD3386970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,124.440379,1,1,0,0,4026531840,systemd,0,1005,security_file_open,"[140074839310116, 8103505641674583857]",4,0,,,,/proc/381/cgroup,O_RDONLY|O_LARGEFILE,5.0,38542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,124.440414,1,1,0,0,4026531840,systemd,0,257,openat,[],4,12,,,,/proc/381/cgroup,O_RDONLY|O_CLOEXEC,,,,,-100.0,3070885668,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,124.440554,1,1,0,0,4026531840,systemd,0,3,close,[],1,0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,124.440646,378,378,1,100,4026532231,systemd-network,0,3,close,[140343254555051],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,124.440688,381,381,1,101,4026532232,systemd-resolve,0,3,close,[139913106209159],1,0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,124.440867,381,381,1,101,4026532232,systemd-resolve,0,1005,security_file_open,"[139913106206379, 8387231030874826100]",4,0,,,,/run/systemd/netif/links/5,O_RDONLY|O_LARGEFILE,25.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,124.441038,381,381,1,101,4026532232,systemd-resolve,0,5,fstat,"[139913106204297, 8387231030874826100]",2,0,,,,,,,,15.0,0x7FFC14B74A00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
