feature,importance
timestamp,0.0
processId,0.0
threadId,0.0
parentProcessId,0.0
userId,0.0
mountNamespace,0.0
hostName,0.0
eventId,0.0
argsNum,0.0
returnValue,0.0
dev,0.0
inode,0.0
fd,0.0
dirfd,0.0
processName_enc,0.0
eventName_enc,0.0
stack_depth,0.0
flag_-1107596144,0.0
flag_-1369736048,0.0
flag_-1868620656,0.0
flag_-234652528,0.0
flag_-385483702,0.0
flag_-958931824,0.0
flag_0,0.0
flag_1222958224,0.0
flag_1462094922,0.0
flag_2,0.0
flag_512,0.0
flag_CLONE_CHILD_CLEARTID,0.0
flag_CLONE_CHILD_SETTID,0.0
flag_CLONE_FILES,0.0
flag_CLONE_FS,0.0
flag_CLONE_PARENT_SETTID,0.0
flag_CLONE_SETTLS,0.0
flag_CLONE_SIGHAND,0.0
flag_CLONE_SYSVSEM,0.0
flag_CLONE_THREAD,0.0
flag_CLONE_VFORK,0.0
flag_CLONE_VM,0.0
flag_O_APPEND,0.0
flag_O_CLOEXEC,0.0
flag_O_CREAT,0.0
flag_O_DIRECTORY,0.0
flag_O_EXCL,0.0
flag_O_LARGEFILE,0.0
flag_O_NOATIME,0.0
flag_O_NOCTTY,0.0
flag_O_NOFOLLOW,0.0
flag_O_NONBLOCK,0.0
flag_O_PATH,0.0
flag_O_RDONLY,0.0
flag_O_RDWR,0.0
flag_O_TRUNC,0.0
flag_O_WRONLY,0.0
flag_-1107596144.1,0.0
flag_-1369736048.1,0.0
flag_-1868620656.1,0.0
flag_-234652528.1,0.0
flag_-385483702.1,0.0
flag_-958931824.1,0.0
flag_0.1,0.0
flag_1222958224.1,0.0
flag_1462094922.1,0.0
flag_2.1,0.0
flag_512.1,0.0
flag_CLONE_CHILD_CLEARTID.1,0.0
flag_CLONE_CHILD_SETTID.1,0.0
flag_CLONE_FILES.1,0.0
flag_CLONE_FS.1,0.0
flag_CLONE_PARENT_SETTID.1,0.0
flag_CLONE_SETTLS.1,0.0
flag_CLONE_SIGHAND.1,0.0
flag_CLONE_SYSVSEM.1,0.0
flag_CLONE_THREAD.1,0.0
flag_CLONE_VFORK.1,0.0
flag_CLONE_VM.1,0.0
flag_O_APPEND.1,0.0
flag_O_CLOEXEC.1,0.0
flag_O_CREAT.1,0.0
flag_O_DIRECTORY.1,0.0
flag_O_EXCL.1,0.0
flag_O_LARGEFILE.1,0.0
flag_O_NOATIME.1,0.0
flag_O_NOCTTY.1,0.0
flag_O_NOFOLLOW.1,0.0
flag_O_NONBLOCK.1,0.0
flag_O_PATH.1,0.0
flag_O_RDONLY.1,0.0
flag_O_RDWR.1,0.0
flag_O_TRUNC.1,0.0
flag_O_WRONLY.1,0.0
flag_-1107596144.2,0.0
flag_-1369736048.2,0.0
flag_-1868620656.2,0.0
flag_-234652528.2,0.0
flag_-385483702.2,0.0
flag_-958931824.2,0.0
flag_0.2,0.0
flag_1222958224.2,0.0
flag_1462094922.2,0.0
flag_2.2,0.0
flag_512.2,0.0
flag_CLONE_CHILD_CLEARTID.2,0.0
flag_CLONE_CHILD_SETTID.2,0.0
flag_CLONE_FILES.2,0.0
flag_CLONE_FS.2,0.0
flag_CLONE_PARENT_SETTID.2,0.0
flag_CLONE_SETTLS.2,0.0
flag_CLONE_SIGHAND.2,0.0
flag_CLONE_SYSVSEM.2,0.0
flag_CLONE_THREAD.2,0.0
flag_CLONE_VFORK.2,0.0
flag_CLONE_VM.2,0.0
flag_O_APPEND.2,0.0
flag_O_CLOEXEC.2,0.0
flag_O_CREAT.2,0.0
flag_O_DIRECTORY.2,0.0
flag_O_EXCL.2,0.0
flag_O_LARGEFILE.2,0.0
flag_O_NOATIME.2,0.0
flag_O_NOCTTY.2,0.0
flag_O_NOFOLLOW.2,0.0
flag_O_NONBLOCK.2,0.0
flag_O_PATH.2,0.0
flag_O_RDONLY.2,0.0
flag_O_RDWR.2,0.0
flag_O_TRUNC.2,0.0
flag_O_WRONLY.2,0.0
flag_-1107596144.3,0.0
flag_-1369736048.3,0.0
flag_-1868620656.3,0.0
flag_-234652528.3,0.0
flag_-385483702.3,0.0
flag_-958931824.3,0.0
flag_0.3,0.0
flag_1222958224.3,0.0
flag_1462094922.3,0.0
flag_2.3,0.0
flag_512.3,0.0
flag_CLONE_CHILD_CLEARTID.3,0.0
flag_CLONE_CHILD_SETTID.3,0.0
flag_CLONE_FILES.3,0.0
flag_CLONE_FS.3,0.0
flag_CLONE_PARENT_SETTID.3,0.0
flag_CLONE_SETTLS.3,0.0
flag_CLONE_SIGHAND.3,0.0
flag_CLONE_SYSVSEM.3,0.0
flag_CLONE_THREAD.3,0.0
flag_CLONE_VFORK.3,0.0
flag_CLONE_VM.3,0.0
flag_O_APPEND.3,0.0
flag_O_CLOEXEC.3,0.0
flag_O_CREAT.3,0.0
flag_O_DIRECTORY.3,0.0
flag_O_EXCL.3,0.0
flag_O_LARGEFILE.3,0.0
flag_O_NOATIME.3,0.0
flag_O_NOCTTY.3,0.0
flag_O_NOFOLLOW.3,0.0
flag_O_NONBLOCK.3,0.0
flag_O_PATH.3,0.0
flag_O_RDONLY.3,0.0
flag_O_RDWR.3,0.0
flag_O_TRUNC.3,0.0
flag_O_WRONLY.3,0.0
