feature,importance_score
flag_O_RDWR.2,1.4861352999551016
flag_O_RDWR,1.4861352999551012
flag_O_RDWR.1,1.4861352999551012
flag_O_RDWR.3,1.486135299955101
processId,1.4664020645940705
threadId,1.4633341472050068
flag_-234652528.2,1.3867063153599175
flag_-234652528.3,1.386706315359917
flag_-234652528.1,1.386706315359917
flag_-234652528,1.3867063153599168
processName_enc,1.379624627775623
flag_O_DIRECTORY.1,1.3652581418315768
flag_O_DIRECTORY,1.3652581418315766
flag_O_DIRECTORY.2,1.3652581418315763
flag_O_DIRECTORY.3,1.3652581418315761
flag_O_APPEND.3,1.3489577447052274
flag_O_APPEND,1.3489577447052274
flag_O_APPEND.2,1.3489577447052274
flag_O_APPEND.1,1.348957744705227
mountNamespace,1.3460838820375944
flag_O_TRUNC,1.329366127549473
flag_O_TRUNC.2,1.329366127549473
flag_O_TRUNC.1,1.3293661275494728
flag_O_TRUNC.3,1.3293661275494726
flag_-1868620656,1.3126156187241034
flag_-1868620656.1,1.3126156187241012
flag_-1868620656.2,1.312615618724101
flag_-1868620656.3,1.3126156187240998
flag_O_NONBLOCK,1.2997844573738266
flag_O_NONBLOCK.1,1.2997844573738264
flag_O_NONBLOCK.3,1.2997844573738262
flag_O_NONBLOCK.2,1.2997844573738262
flag_-1369736048.2,1.295882980743822
flag_-1369736048.1,1.2958829807438217
flag_-1369736048,1.2958829807438217
flag_-1369736048.3,1.2958829807438215
flag_-1107596144,1.2830454306734353
flag_-1107596144.3,1.2830454306734342
flag_-1107596144.2,1.2830454306734336
flag_-1107596144.1,1.283045430673433
flag_-958931824.1,1.273836522924053
flag_-958931824.2,1.2738365229240527
flag_-958931824.3,1.2738365229240527
flag_-958931824,1.2738365229240525
flag_1462094922.3,1.2452810746737026
flag_1462094922.1,1.2452810746737022
flag_1462094922.2,1.2452810746737022
flag_1462094922,1.2452810746737013
flag_O_NOATIME.1,1.2368521734453908
flag_O_NOATIME.2,1.2368521734453908
flag_O_NOATIME,1.2368521734453906
flag_O_NOATIME.3,1.2368521734453901
flag_O_LARGEFILE.3,1.2262214870489019
flag_O_LARGEFILE.2,1.2262214870489017
flag_O_LARGEFILE.1,1.2262214870489017
flag_O_LARGEFILE,1.226221487048901
hostName,1.2094732381726416
parentProcessId,1.1846113587293432
flag_-385483702,1.1760948326910967
flag_-385483702.3,1.1760948326910963
flag_-385483702.2,1.176094832691096
flag_-385483702.1,1.1760948326910956
flag_1222958224.3,1.1561865593662821
flag_1222958224,1.1561865593662815
flag_1222958224.2,1.156186559366281
flag_1222958224.1,1.1561865593662806
flag_O_EXCL.3,1.0901641617384574
flag_O_EXCL.1,1.0901641617384574
flag_O_EXCL.2,1.0901641617384574
flag_O_EXCL,1.0901641617384574
eventId,1.0721062809359552
argsNum,1.0555705397721005
flag_O_RDONLY,1.009717595885209
flag_O_RDONLY.3,1.009717595885209
flag_O_RDONLY.2,1.0097175958852087
flag_O_RDONLY.1,1.009717595885208
timestamp,1.007346517368489
stack_depth,1.0038220962882785
dirfd,0.9967288228305338
flag_0.1,0.9694973392599906
flag_0.3,0.9694973392599903
flag_0.2,0.9694973392599902
flag_0,0.9694973392599898
eventName_enc,0.9449169858799569
flag_O_NOFOLLOW.3,0.9406519686437503
flag_O_NOFOLLOW.2,0.9406519686437503
flag_O_NOFOLLOW.1,0.9406519686437498
flag_O_NOFOLLOW,0.9406519686437494
flag_O_CREAT.3,0.9352286601335411
flag_O_CREAT.2,0.9352286601335402
flag_O_CREAT,0.9352286601335397
flag_O_CREAT.1,0.9352286601335396
flag_2.3,0.925465999257464
flag_2.1,0.9254659992574639
flag_2.2,0.9254659992574639
flag_2,0.9254659992574634
flag_O_NOCTTY.1,0.9087341188223266
flag_O_NOCTTY,0.9087341188223265
flag_O_NOCTTY.2,0.908734118822326
flag_O_NOCTTY.3,0.9087341188223258
flag_512.2,0.8747422857172703
flag_512.3,0.8747422857172703
flag_512.1,0.8747422857172702
flag_512,0.8747422857172696
userId,0.822140832077103
flag_O_CLOEXEC.2,0.7278962653645106
flag_O_CLOEXEC.1,0.7278962653645105
flag_O_CLOEXEC.3,0.7278962653645105
flag_O_CLOEXEC,0.7278962653645099
fd,0.7065527517416235
dev,0.6798407615502747
returnValue,0.6641202428337432
flag_O_WRONLY.2,0.6626736982147791
flag_O_WRONLY,0.662673698214779
flag_O_WRONLY.1,0.6626736982147786
flag_O_WRONLY.3,0.6626736982147785
flag_O_PATH,0.6428145855467269
flag_O_PATH.2,0.6428145855467265
flag_O_PATH.1,0.6428145855467264
flag_O_PATH.3,0.6428145855467258
flag_CLONE_CHILD_CLEARTID.2,0.6347026813638043
flag_CLONE_CHILD_CLEARTID.3,0.6347026813638041
flag_CLONE_CHILD_CLEARTID.1,0.634702681363804
flag_CLONE_CHILD_CLEARTID,0.6347026813638038
flag_CLONE_CHILD_SETTID.1,0.6214589917659705
flag_CLONE_CHILD_SETTID,0.6214589917659704
flag_CLONE_CHILD_SETTID.3,0.6214589917659704
flag_CLONE_CHILD_SETTID.2,0.6214589917659704
flag_CLONE_VFORK,0.5381571918589183
flag_CLONE_VFORK.2,0.5381571918589183
flag_CLONE_VFORK.1,0.5381571918589182
flag_CLONE_VFORK.3,0.5381571918589182
flag_CLONE_VM.2,0.4648502385996084
flag_CLONE_VM.1,0.4648502385996084
flag_CLONE_VM.3,0.4648502385996079
flag_CLONE_VM,0.4648502385996073
flag_CLONE_SIGHAND.3,0.26200869786867254
flag_CLONE_THREAD.3,0.2620086978686725
flag_CLONE_SYSVSEM.3,0.2620086978686724
flag_CLONE_FS.3,0.2620086978686721
flag_CLONE_PARENT_SETTID.3,0.2620086978686719
flag_CLONE_SETTLS.3,0.2620086978686718
flag_CLONE_SETTLS.2,0.2620086978686717
flag_CLONE_FILES.3,0.2620086978686716
flag_CLONE_FS.2,0.2620086978686716
flag_CLONE_SIGHAND.2,0.26200869786867154
flag_CLONE_PARENT_SETTID.2,0.26200869786867154
flag_CLONE_SIGHAND,0.26200869786867154
flag_CLONE_SETTLS,0.2620086978686715
flag_CLONE_SYSVSEM.2,0.2620086978686715
flag_CLONE_THREAD.1,0.26200869786867137
flag_CLONE_THREAD.2,0.26200869786867137
flag_CLONE_FILES.2,0.26200869786867126
flag_CLONE_PARENT_SETTID,0.26200869786867126
flag_CLONE_SYSVSEM,0.26200869786867126
flag_CLONE_SIGHAND.1,0.2620086978686712
flag_CLONE_SETTLS.1,0.26200869786867115
flag_CLONE_SYSVSEM.1,0.2620086978686709
flag_CLONE_PARENT_SETTID.1,0.26200869786867076
